,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
91,"McLaren, Natasha",SR-4,Connecticut,1.75m,"5' 8.75""",Larry Ellis (College),2015-04-17,HJ,W
91,"Carter, Melai",SR-4,Stephen F. Austin,1.75m,"5' 8.75""",SFA Skechers Carl Kight Invitational,2015-04-02,HJ,W
91,"Murphy, Erin",JR-3,BYU,1.75m,"5' 8.75""",37th SDSU Aztec Invitational,2015-03-26,HJ,W
91,"Kieffer-Wright, Claire",FR-1,Michigan,1.75m,"5' 8.75""",Cal-Michigan-Virginia Tri Meet,2015-04-04,HJ,W
91,"Hall, Shanice",JR-3,LSU,1.75m,"5' 8.75""",SEC Championships,2015-05-14,HJ,W
91,"Starege, Anisia",SO-2,Western Carolina,1.75m,"5' 8.75""",2015 Aggie Last Chance,2015-05-17,HJ,W
1,"Pilgrim, Kaysee",SR-4,UNLV,1.90m,"6' 2.75""",Mountain West Outdoor Track & Field Championships,2017-05-10,HJ,W
2,"Boss, Logan",JR-3,Miss State,1.89m,"6' 2.25""",Crimson Tide Invitational,2017-04-07,HJ,W
3,"Fagan, Madeline",JR-3,Georgia,1.88m,"6' 2""",SEC Outdoor Track & Field Championships,2017-05-11,HJ,W
3,"Gusin, Tatiana",JR-3,Georgia,1.88m,"6' 2""",SEC Outdoor Track & Field Championships,2017-05-11,HJ,W
5,"Spires, Shelley",JR-3,Air Force,1.87m,"6' 1.5""",Mountain West Outdoor Track & Field Championships,2017-05-10,HJ,W
6,"Lefebvre-Oatis, Mikella",FR-1,UCLA,1.85m,"6' 0.75""",Bob Larsen Distance Carnival/UCLA Legends Invite,2017-03-31,HJ,W
6,"Wiebke, Taylor",SO-2,Minnesota,1.85m,"6' 0.75""",Longhorn Invitational,2017-04-28,HJ,W
6,"Williams, Kendell",SR-4,Georgia,1.85m,"6' 0.75""",Spec Towns Invitational,2017-04-07,HJ,W
6,"Decoud, Chelsie",JR-3,Texas State,1.85m,"6' 0.75""",Texas State Bobcat Invitational,2017-03-30,HJ,W
6,"Hagens, Lisanne",JR-3,Arizona,1.85m,"6' 0.75""",Jim Click Shootout,2017-04-08,HJ,W
11,"Destin, Stacey",SO-2,Alabama,1.84m,"6' 0.5""",SEC Outdoor Track & Field Championships,2017-05-11,HJ,W
11,"Kieffer-Wright, Claire",JR-3,Michigan,1.84m,"6' 0.5""",Big Ten Outdoor Championships,2017-05-12,HJ,W
11,"Wadden, Nicole",SR-4,Nevada,1.84m,"6' 0.5""",Mountain West Outdoor Track & Field Championships,2017-05-10,HJ,W
14,"Blaut, Loretta",JR-3,Cincinnati,1.83m,"6' 0""",2017 Kentucky Relays,2017-05-06,HJ,W
14,"Haugen, Emma",SO-2,Wisconsin,1.83m,"6' 0""",Wisconsin Alumni Classic,2017-05-05,HJ,W
14,"Palmer, Chennel",JR-3,Northern Illinois,1.83m,"6' 0""",2017 Drake Relays presented by Hy-Vee,2017-04-26,HJ,W
17,"Cutliff, Clarissa",SO-2,FIU,1.82m,"5' 11.5""",USF Invitational,2017-04-21,HJ,W
17,"Willis, Zarriea",SO-2,Texas Tech,1.82m,"5' 11.5""",Texas Tech Red Raider Shoot-Out,2017-04-28,HJ,W
17,"Gray, Nakita",SR-4,South Carolina,1.82m,"5' 11.5""",Florida Relays,2017-03-30,HJ,W
17,"Stapleton, Andrea",SO-2,BYU,1.82m,"5' 11.5""",2017 BYU Cougar Invitational,2017-05-12,HJ,W
17,"Greene, Nicole",SO-2,North Carolina,1.82m,"5' 11.5""",ACC Outdoor Track & Field Championships,2017-05-12,HJ,W
