,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
31,"Brooks, Jaron",SO-2,Auburn,2.16m,"7' 1""",SEC Outdoor Track and Field Championships,2018-05-11,HJ,M
31,"Lauray, Greg",FR-1,Pittsburgh,2.16m,"7' 1""",Virginia Challenge,2018-04-20,HJ,M
31,"Roberts, Kareem",SR-4,LIU Brooklyn,2.16m,"7' 1""",Penn Relays,2018-04-26,HJ,M
31,"Claxton, Daniel",FR-1,Connecticut,2.16m,"7' 1""",The American Outdoor Track & Field Championships,2018-05-11,HJ,M
31,"Armstrong, Daniel",SO-2,Marquette,2.16m,"7' 1""",BIG EAST Outdoor Track & Field Championships,2018-05-11,HJ,M
31,"Merlos, Antonios",FR-1,Georgia,2.16m,"7' 1""",SEC Outdoor Track and Field Championships,2018-05-11,HJ,M
31,"Owens, Rubin",SR-4,Arkansas,2.16m,"7' 1""",SEC Outdoor Track and Field Championships,2018-05-11,HJ,M
43,"Birzer, Matthew",JR-3,Notre Dame,2.15m,"7' 0.5""",ACC Outdoor Championships,2018-05-10,HJ,M
43,"Blackman, Eric",SR-4,Purdue,2.15m,"7' 0.5""",2018 Louisville Invitational,2018-04-13,HJ,M
43,"Summerset, Justice",SO-2,Arizona,2.15m,"7' 0.5""",2018 Jim Click Shootout,2018-04-07,HJ,M
43,"Cragin, Garrett",SR-4,Texas A&M,2.15m,"7' 0.5""",Rafer Johnson & Jackie Joyner-Kersee Invitational,2018-04-14,HJ,M
43,"Kahrs, Jack",SR-4,Rhode Island,2.15m,"7' 0.5""",Holy Cross Men's Meet,2018-04-24,HJ,M
43,"Ridout, Rivers",JR-3,Duke,2.15m,"7' 0.5""",Duke Invitational,2018-04-20,HJ,M
43,"Richardson, Curtis",JR-3,Akron,2.15m,"7' 0.5""",LSU Invitational,2018-04-28,HJ,M
43,"Allen, Lamont",FR-1,Illinois State,2.15m,"7' 0.5""",Illinois State Redbird Invitational,2018-04-14,HJ,M
