,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
27,"Daniels, Joseph",SO-2,Princeton,13.80,Penn Relays,2018-04-26,0.3,110H,W
28,"Newman, Wayne",SR-4,Lipscomb,13.82,ASUN Outdoor Track & Field Championships,2018-05-11,0.9,110H,W
28,"Parker, Caleb",SO-2,Southern Miss.,13.82,FSU Relays,2018-03-23,0.1,110H,W
30,"Coakley, Xavier",JR-3,Auburn,13.83,Tiger Track Classic 2018,2018-04-13,2.0,110H,W
31,"Tennon, Darien",SR-4,Texas Tech,13.84,Michael Johnson Invitational,2018-04-21,2.8,110H,W
31,"Johnson, Nick",SO-2,Washington St.,13.84,2018 Pac-12 Track & Field Championships,2018-05-12,3.5,110H,W
31,"Moore, Matt",SO-2,Syracuse,13.84,ACC Outdoor Championships,2018-05-10,-0.6,110H,W
34,"Donald, Larry",SR-4,Arkansas,13.85,Michael Johnson Invitational,2018-04-21,2.8,110H,W
34,"Lewis, Aaron",SO-2,Coppin State,13.85,MEAC Outdoor Track & Field Championships,2018-05-03,2.8,110H,W
36,"Davis, Ashtyn",SR-4,California,13.86,Pac-12+ vs Big Ten Invitational,2018-03-23,0.0,110H,W
37,"Moffo, Shane",JR-3,Central Michigan,13.87,2018 Mid-American Conf. Outdoor Track & Field Championships,2018-05-10,2.7,110H,W
37,"Adams, Terrance",JR-3,Alabama State,13.87,Weems Baskin Relays,2018-03-23,3.5,110H,W
39,"Williams, Paris",SO-2,Kennesaw State,13.89,ASUN Outdoor Track & Field Championships,2018-05-11,0.9,110H,W
39,"Douglas, Chris",JR-3,Iowa,13.89,Big Ten Championships,2018-05-11,0.8,110H,W
39,"Nelson, Israel",JR-3,Oral Roberts,13.89,2018 Summit League Championships,2018-05-10,3.0,110H,W
42,"Nwangwu, Emeka",SR-4,UT-Arlington,13.90,Sun Belt Outdoor Track and Field Championships,2018-05-11,2.6,110H,W
43,"Gomes, Paedyn",SR-4,Yale,13.92,Ivy League Outdoor Track & Field Championships,2018-05-05,0.7,110H,W
44,"Gibbons, Sidney",JR-3,Albany,13.94,Penn Relays,2018-04-26,0.3,110H,W
45,"Foster, Azariah",JR-3,Jackson State,13.95,McNeese Springtime Classic,2018-04-07,2.2,110H,W
45,"Miller, Robert",SO-2,N. Carolina A&T,13.95,MEAC Outdoor Track & Field Championships,2018-05-03,1.0,110H,W
45,"Guillory, Tyler",SO-2,Texas A&M,13.95,SEC Outdoor Track and Field Championships,2018-05-11,1.0,110H,W
48,"Anderson, Joseph",FR-1,Oregon,13.96,2018 Pac-12 Track & Field Championships,2018-05-12,3.5,110H,W
49,"Wells, Jonathan",JR-3,Illinois,13.97,2018 Jim Click Shootout,2018-04-07,1.1,110H,W
49,"Smith, Shakeem",SO-2,UTEP,13.97,2018 Desert Heat Classic,2018-04-28,0.1,110H,W
49,"Floyd, Richard",SO-2,Syracuse,13.97,UF Tom Jones Memorial,2018-04-13,1.5,110H,W
52,"Dickens, Tyricke",FR-1,Florida State,13.98,FSU Relays,2018-03-23,0.1,110H,W
