,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
11,"Delophont, Dior",JR-3,Kent State,13.26m,"43' 6""",Mid-American Outdoor Track & Field Championships,2015-05-14,0.7,TJ,W
12,"Marten, Isabella",FR-1,SMU,13.21m,"43' 4.25""",Bobcat Invitational,2015-03-26,2.3,TJ,W
13,"Gribbin, Mollie",JR-3,Nebraska,13.20m,"43' 3.75""",Big Ten Outdoor Track & Field Championships,2015-05-15,3.1,TJ,W
14,"Latham, Viershanie",SO-2,Texas Tech,13.17m,"43' 2.5""",Texas Tech Red Raider Open,2015-04-30,3.0,TJ,W
15,"Dicks, Natasha",SO-2,South Carolina,13.16m,"43' 2.25""",SEC Championships,2015-05-14,2.2,TJ,W
16,"Belot, Odrine",JR-3,Connecticut,13.14m,"43' 1.5""",The American Outdoor Track & Field Championships,2015-05-14,2.2,TJ,W
17,"Amsterdam, Iana",SO-2,Clemson,13.10m,"42' 11.75""",ACC Outdoor Track & Field Championships,2015-05-14,1.0,TJ,W
17,"Todd, Jasmine",SO-2,Oregon,13.10m,"42' 11.75""",Pac-12 Track & Field Championships,2015-05-15,0.8,TJ,W
19,"Saunders, Allie",SR-4,Texas State,13.09m,"42' 11.5""",Sun Belt Outdoor Track and Field Championships,2015-05-08,1.5,TJ,W
20,"Ryan, Marshay",SO-2,Auburn,13.08m,"42' 11""",Tiger Track Classic 2015,2015-04-03,0.7,TJ,W
21,"Ding, Daisy",SO-2,Rice,12.99m,"42' 7.5""",Conference USA Outdoor Track & Field Championships,2015-05-14,2.5,TJ,W
22,"Jackson, Gionna",JR-3,Texas Tech,12.98m,"42' 7""",Texas Tech Red Raider Open,2015-04-30,2.8,TJ,W
22,"Terrell, Anasterasia",FR-1,Clemson,12.98m,"42' 7""",ACC Outdoor Track & Field Championships,2015-05-14,0.3,TJ,W
24,"Thomas, Porsha",JR-3,Northwestern St.,12.96m,"42' 6.25""",LSU Alumni Gold,2015-04-18,2.8,TJ,W
25,"Pitts, Kaylnn",SO-2,Austin Peay,12.92m,"42' 4.75""",Memphis Invitational,2015-05-02,1.0,TJ,W
25,"McQueen, Darrielle",FR-1,Florida,12.92m,"42' 4.75""",SEC Championships,2015-05-14,2.2,TJ,W
27,"Hadnot, Jannell",SO-2,New Mexico,12.91m,"42' 4.25""",Mountain West Outdoor Track & Field Championships,2015-05-13,0.2,TJ,W
28,"Warner, Gissell",SR-4,Florida,12.90m,"42' 4""",SEC Championships,2015-05-14,2.4,TJ,W
29,"Gibson, Dannielle",SO-2,Penn State,12.89m,"42' 3.5""",Big Ten Outdoor Track & Field Championships,2015-05-15,3.0,TJ,W
30,"Abrahamsson, Rebecka",FR-1,Cincinnati,12.88m,"42' 3.25""",2015 Penn Relays,2015-04-23,2.8,TJ,W
30,"Wallace, Sasha",SO-2,Oregon,12.88m,"42' 3.25""",Pac-12 Track & Field Championships,2015-05-15,1.0,TJ,W
32,"Dreimane, Dace'",SO-2,Eastern Michigan,12.87m,"42' 2.75""",Mid-American Outdoor Track & Field Championships,2015-05-14,0.6,TJ,W
32,"Armstrong, Keishorea",SO-2,Binghamton,12.87m,"42' 2.75""",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,1.1,TJ,W
34,"Obiozor, Cybil",SO-2,Rice,12.86m,"42' 2.25""",J Fred Duckett-Rice Twilight,2015-04-25,1.3,TJ,W
35,"Ewere, Ellie",SR-4,Nebraska,12.85m,"42' 2""",2015 Drake Relays presented by Hy-Vee,2015-04-22,1.0,TJ,W
35,"Fountain, Whitney",SR-4,Clemson,12.85m,"42' 2""",ACC Outdoor Track & Field Championships,2015-05-14,0.9,TJ,W
37,"Collier, Kenija",FR-1,Kansas State,12.84m,"42' 1.5""",Big 12 Outdoor Track & Field Championships,2015-05-15,3.2,TJ,W
37,"Luque, Jhoanmy",FR-1,Iowa State,12.84m,"42' 1.5""",Tiger Track Classic 2015,2015-04-03,3.2,TJ,W
39,"Hughes, Amber",SO-2,Tennessee St.,12.82m,"42' 0.75""",Ohio Valley Conference Championships,2015-05-15,0.0,TJ,W
40,"McNeil, Shamoya",FR-1,West Virginia,12.81m,"42' 0.5""",Big 12 Outdoor Track & Field Championships,2015-05-15,2.6,TJ,W
41,"Iloanya, Nicole",FR-1,San Jose St.,12.79m,"41' 11.5""",Longhorn Invitational,2015-05-02,1.0,TJ,W
42,"Wilson, Nickevea",SR-4,UTEP,12.78m,"41' 11.25""",Brutus Hamilton Challenge,2015-04-25,1.4,TJ,W
42,"Brinker, Ebony",SR-4,Miss State,12.78m,"41' 11.25""",SEC Championships,2015-05-14,2.5,TJ,W
42,"Cox, Melia",SR-4,USC,12.78m,"41' 11.25""",Pac-12 Track & Field Championships,2015-05-15,2.3,TJ,W
45,"Koloski, Julia",SR-4,Pittsburgh,12.77m,"41' 10.75""",2015 Clyde Littlefield Texas Relays,2015-03-25,-0.3,TJ,W
46,"Al-Bayyinah, Amirah",JR-3,Coastal Carolina,12.76m,"41' 10.5""",Tiger Track Classic 2015,2015-04-03,0.9,TJ,W
47,"Uudmae, Merilyn",SR-4,Alabama,12.75m,"41' 10""",SEC Championships,2015-05-14,2.2,TJ,W
47,"Brown, Nhautrey",SO-2,George Mason,12.75m,"41' 10""",Atlantic 10 Championships,2015-05-02,2.3,TJ,W
49,"Michalska, Klara",SO-2,Western Kentucky,12.74m,"41' 9.75""",Conference USA Outdoor Track & Field Championships,2015-05-14,1.4,TJ,W
49,"Kinney, Brittany",SR-4,Houston,12.74m,"41' 9.75""",The American Outdoor Track & Field Championships,2015-05-14,0.3,TJ,W
51,"Black, Jazzelena",JR-3,South Dakota St.,12.73m,"41' 9.25""",The Summit League Outdoor Track & Field Championships,2015-05-13,0.2,TJ,W
51,"Toliver, Rachel",SO-2,Hawaii,12.73m,"41' 9.25""",2015 Big West Championships,2015-05-15,0.0,TJ,W
53,"Anane, Vania",JR-3,Purdue,12.70m,"41' 8""",Big Ten Outdoor Track & Field Championships,2015-05-15,1.6,TJ,W
53,"Okparaebo, Chiamaka",JR-3,Memphis,12.70m,"41' 8""",ASU Red Wolf Open,2015-04-24,2.6,TJ,W
55,"Gourdin, Mary Esther",SR-4,Notre Dame,12.69m,"41' 7.75""",ACC Outdoor Track & Field Championships,2015-05-14,1.0,TJ,W
55,"Tibbs, Keyasia",SO-2,Arizona State,12.69m,"41' 7.75""",Pac-12 Track & Field Championships,2015-05-15,1.6,TJ,W
57,"Brazzel, Tamika",JR-3,Tulane,12.68m,"41' 7.25""",The American Outdoor Track & Field Championships,2015-05-14,3.2,TJ,W
57,"Broomfield, Robiann",JR-3,Missouri State,12.68m,"41' 7.25""",John Jacobs Invitational,2015-04-17,1.3,TJ,W
59,"Kwiatkowski, Marisa",FR-1,Stanford,12.67m,"41' 7""",Longhorn Invitational,2015-05-02,2.2,TJ,W
60,"Hunter, Regine",SO-2,Syracuse,12.66m,"41' 6.5""",Miami Hurricane Alumni Invitational,2015-04-10,2.0,TJ,W
60,"Brown, Jasmine",SO-2,Western Illinois,12.66m,"41' 6.5""",2015 Drake Relays presented by Hy-Vee,2015-04-22,2.8,TJ,W
62,"Williams, Pershawna",JR-3,Mid. Tenn. State,12.65m,"41' 6""",Conference USA Outdoor Track & Field Championships,2015-05-14,1.9,TJ,W
62,"MARTIN, Jazmine",SO-2,North Texas,12.65m,"41' 6""",Conference USA Outdoor Track & Field Championships,2015-05-14,3.4,TJ,W
62,"Newsome, Jamie",FR-1,Indiana State,12.65m,"41' 6""",2015 MVC Outdoor Track and Field Championships,2015-05-15,2.6,TJ,W
62,"Obikudu, Chineme",FR-1,Texas-Arlington,12.65m,"41' 6""",Sun Belt Outdoor Track and Field Championships,2015-05-08,1.6,TJ,W
66,"Beans, Kaitlyn",SO-2,South Alabama,12.64m,"41' 5.75""",Sun Belt Outdoor Track and Field Championships,2015-05-08,2.7,TJ,W
67,"Kelly, Alyssa",JR-3,Kansas State,12.63m,"41' 5.25""",Big 12 Outdoor Track & Field Championships,2015-05-15,2.5,TJ,W
67,"Andrews, Shanice",SR-4,Wichita State,12.63m,"41' 5.25""",2015 MVC Outdoor Track and Field Championships,2015-05-15,3.6,TJ,W
69,"Phillips, Stormm",SO-2,Jacksonville,12.61m,"41' 4.5""",UNF East Region Preview,2015-05-08,0.3,TJ,W
69,"Hammond, India",JR-3,Mid. Tenn. State,12.61m,"41' 4.5""",Conference USA Outdoor Track & Field Championships,2015-05-14,0.9,TJ,W
71,"Baum, Alexandra",SR-4,Albany,12.60m,"41' 4.25""",UAlbany Spring Classic,2015-04-17,3.3,TJ,W
72,"Brown, Cierra",JR-3,Purdue,12.57m,"41' 3""",Big Ten Outdoor Track & Field Championships,2015-05-15,2.1,TJ,W
72,"Mercurio, Angela",FR-1,Nebraska,12.57m,"41' 3""",Big Ten Outdoor Track & Field Championships,2015-05-15,3.9,TJ,W
72,"Williams, O'Sha",JR-3,Brown,12.57m,"41' 3""",Ivy League Outdoor Track & Field Championships,2015-05-09,0.2,TJ,W
75,"Gaudyn, Weronika",SO-2,Akron,12.55m,"41' 2.25""",Akron Campbell-Wright Invitational,2015-05-08,2.2,TJ,W
75,"Jones, Janae",JR-3,Liberty,12.55m,"41' 2.25""",Big South Championships,2015-05-14,0.8,TJ,W
77,"Walton, Bianca",SR-4,Ohio State,12.54m,"41' 1.75""",Stanford Invitational,2015-04-03,2.1,TJ,W
