,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
8,"Lagat, Festus",JR-3,Iowa State,1:46.93,Big 12 Outdoor Track and Field Championships,2019-05-10,800,M
8,"Manternach, Matt",JR-3,Iowa,1:46.93,Bryan Clay Invitational,2019-04-17,800,M
10,"Nixon, Daniel",JR-3,Miss State,1:47.06,Crimson Tide Invitational,2019-04-11,800,M
11,"Rhoads, Michael",JR-3,Air Force,1:47.10,Mt. SAC Relays,2019-04-18,800,M
12,"Devroe, Dejon",SR-4,Miss State,1:47.50,Crimson Tide Invitational,2019-04-11,800,M
13,"Lilly, Carter",SR-4,Iowa,1:47.52,Bryan Clay Invitational,2019-04-17,800,M
14,"Bartlett, Avery",SR-4,Georgia Tech,1:47.54,Florida Relays,2019-03-28,800,M
14,"Villarreal, Carlos",JR-3,Arizona,1:47.54,Jim Click Shootout,2019-04-06,800,M
16,"Espino, George",SR-4,Southern Utah,1:47.58,Bryan Clay Invitational,2019-04-17,800,M
17,"Perretta, Domenic",SO-2,Penn State,1:47.75,Florida Relays,2019-03-28,800,M
18,"Crisp, Vincent",SR-4,Texas Tech,1:47.79,Big 12 Outdoor Track and Field Championships,2019-05-10,800,M
19,"Martinsson, Erik",SR-4,UT-Arlington,1:47.81,Bryan Clay Invitational,2019-04-17,800,M
19,"Bethmann, Cade",SO-2,Ole Miss,1:47.81,Bryan Clay Invitational,2019-04-17,800,M
21,"Taylor, Kieran",SO-2,Arkansas,1:48.06,Bryan Clay Invitational,2019-04-17,800,M
22,"Jones, Otis",SR-4,South Carolina,1:48.09,SEC Outdoor Track & Field Championships,2019-05-09,800,M
23,"Kuhn, Daniel",SR-4,Indiana,1:48.16,2019 Billy Hayes Invitational,2019-05-03,800,M
24,"Williams, Cooper",JR-3,Indiana,1:48.23,Tennessee Relays,2019-04-11,800,M
24,"Marshall, Myles",SR-4,Harvard,1:48.23,Ivy League Outdoor Track & Field Championships,2019-05-04,800,M
26,"Nuguse, Yared",SO-2,Notre Dame,1:48.29,Stanford Invitational,2019-03-29,800,M
27,"Moss, Ty",JR-3,Nebraska,1:48.32,Bryan Clay Invitational,2019-04-17,800,M
28,"Threlkeld, Curtis",JR-3,CSU Bakersfield,1:48.34@,WAC Outdoor Track and Field Championships,2019-05-09,800,M
29,"Rivera, John",SO-2,Ole Miss,1:48.39,Bryan Clay Invitational,2019-04-17,800,M
30,"Murphy, Drake",SR-4,Stephen F. Austin,1:48.42,Michael Johnson Invitational,2019-04-19,800,M
31,"Knevelbaard, Kasey",JR-3,Southern Utah,1:48.44@,2019 BYU Robison Invitational,2019-04-25,800,M
32,"Hansen, Kristian",JR-3,New Mexico,1:48.45,Bryan Clay Invitational,2019-04-17,800,M
33,"Howard, Grey",SR-4,Tulsa,1:48.46,Bryan Clay Invitational,2019-04-17,800,M
34,"Sauer, Alek",SR-4,Columbia,1:48.47,Florida Relays,2019-03-28,800,M
35,"Orange, Carlton",JR-3,Texas A&M,1:48.48,The Reveille Meet,2019-04-06,800,M
36,"VanDraska, Tysen",JR-3,Iowa,1:48.52,Bryan Clay Invitational,2019-04-17,800,M
37,"Torpy, Sean",JR-3,Miami (Ohio),1:48.53,Mid-American Conference Outdoor Track & Field Championships,2019-05-09,800,M
38,"Wallace, Adam",JR-3,Indiana,1:48.61,2019 Billy Hayes Invitational,2019-05-03,800,M
38,"Wharton, Max",JR-3,New Mexico,1:48.61,Bryan Clay Invitational,2019-04-17,800,M
40,"Riley, Griffin",SO-2,Ole Miss,1:48.74,Bryan Clay Invitational,2019-04-17,800,M
41,"Teubel, Nolan",JR-3,Iowa,1:48.75,Bryan Clay Invitational,2019-04-17,800,M
42,"Wilson, Michael",SR-4,New Mexico,1:48.77,Payton Jordan Invitational,2019-05-02,800,M
42,"Brown, Eric",JR-3,Wisconsin,1:48.77,Big Ten Championships,2019-05-10,800,M
44,"Anstey, Jack",JR-3,Illinois State,1:48.78,Tennessee Relays,2019-04-11,800,M
45,"Gleen, Tyler",SO-2,Connecticut,1:48.79,Florida Relays,2019-03-28,800,M
46,"Mosavel-Lo, Bashir",SO-2,Virginia Tech,1:48.82,Duke Invitational,2019-04-19,800,M
47,"LaRance, Dawson",SO-2,Minnesota,1:48.84,Jim Click Shootout,2019-04-06,800,M
47,"Abbkar, Abbas",JR-3,Savannah State,1:48.84,Florida Relays,2019-03-28,800,M
49,"Lewis, John",SR-4,Clemson,1:48.86,Florida Relays,2019-03-28,800,M
50,"Royal, Jalen",FR-1,Indiana,1:48.91,2019 Billy Hayes Invitational,2019-05-03,800,M
51,"Tully, Robert",SR-4,Tulsa,1:48.94,Bryan Clay Invitational,2019-04-17,800,M
52,"Kusche, George",SO-2,Nebraska,1:48.96@,Corky/Crofoot Shootout,2019-04-26,800,M
53,"Kelly, Riley",JR-3,UCLA,1:49.01,Mt. SAC Relays,2019-04-18,800,M
54,"Padhal, Ruach",SO-2,Georgetown,1:49.06,Florida Relays,2019-03-28,800,M
55,"Kibet, Evans",JR-3,Siena,1:49.07,IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,800,M
56,"Garz, Daniel",SR-4,Idaho State,1:49.10@,2019 BYU Robison Invitational,2019-04-25,800,M
56,"Bennett, Aaron",FR-1,Indiana,1:49.10,2019 Billy Hayes Invitational,2019-05-03,800,M
58,"Brown, Spencer",JR-3,Georgetown,1:49.12,George Mason Spring Invitational,2019-04-13,800,M
58,"Langstaff, Josiah",SR-4,Columbia,1:49.12,Florida Relays,2019-03-28,800,M
60,"Gentil, Cebastian",FR-1,Iowa State,1:49.26,Big 12 Outdoor Track and Field Championships,2019-05-10,800,M
61,"Wisner, Matt",JR-3,Duke,1:49.32,Duke Invitational,2019-04-19,800,M
62,"Hayes, Frank",JR-3,Ohio State,1:49.36,Akron - Campbell Wright Open,2019-05-03,800,M
63,"Hunter, Charlie",SO-2,Oregon,1:49.42,2019 Pac-12 Track & Field Championships,2019-05-04,800,M
64,"Schwind, Jonathan",SO-2,Lipscomb,1:49.44,Tiger Track Classic 2019,2019-04-05,800,M
65,"Hawthorne, Anthony",JR-3,La Salle,1:49.46,Florida Relays,2019-03-28,800,M
65,"Olguin, Reagan",SR-4,Rice,1:49.46,37th Annual Victor Lopez Classic,2019-03-21,800,M
67,"Owens, Miles",SO-2,William and Mary,1:49.48,George Mason Spring Invitational,2019-04-13,800,M
68,"Zepf, Tim",SO-2,Dartmouth,1:49.51,Ivy League Outdoor Track & Field Championships,2019-05-04,800,M
69,"Cooper, Cameron",JR-3,Ohio State,1:49.52,Akron - Campbell Wright Open,2019-05-03,800,M
70,"Atkins, Leon",JR-3,Buffalo,1:49.56,2019 Larry Ellis Invitational,2019-04-20,800,M
70,"Lacey, Blaine",SR-4,George Mason,1:49.56,George Mason Spring Invitational,2019-04-13,800,M
72,"Castro, Juan Diego",FR-1,Oklahoma State,1:49.58,John McDonnell Invitational,2019-04-12,800,M
73,"Colley, Ackeen",SO-2,Oklahoma,1:49.60,Roadrunner Invitational,2019-03-21,800,M
73,"Cepus, Sven",FR-1,Texas Tech,1:49.60,Big 12 Outdoor Track and Field Championships,2019-05-10,800,M
75,"Rice, Solomon",SR-4,Columbia,1:49.61,Ivy League Outdoor Track & Field Championships,2019-05-04,800,M
75,"Van Dorpe, Sam",FR-1,USC,1:49.61,Jim Click Shootout,2019-04-06,800,M
77,"Garner , Wade",JR-3,Arkansas-Pine Bluff,1:49.65,2019 SWAC Outdoor T&F Championships,2019-05-03,800,M
78,"Glick, Drew",JR-3,Pittsburgh,1:49.74,Raleigh Relays,2019-03-29,800,M
79,"West, James",SR-4,Oregon,1:49.77,Linfield Open,2019-05-04,800,M
