,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
69,"Crooke, Shenel",SR-4,Morgan State,11.47,2017 Aggie Invitational,2017-04-14,1.8,100,W
69,"Knott, Kristina",JR-3,Miami,11.47,Florida Relays,2017-03-30,0.8,100,W
71,"Johnson, Latessa",SO-2,SMU,11.48,Michael Johnson Invitational,2017-04-22,2.3,100,W
71,"Cunningham, Gabriele",SO-2,North Carolina St.,11.48,ACC Outdoor Track & Field Championships,2017-05-12,1.9,100,W
71,"Settle, Genna",SR-4,Portland State,11.48,2017 Big Sky Outdoor Track & Field Championships,2017-05-10,1.6,100,W
71,"Wood, Hannah",SR-4,Kennesaw State,11.48,ASUN Outdoor Track & Field Championships,2017-05-12,0.9,100,W
71,"Smith, Rochene",JR-3,San Diego St.,11.48@,Mountain West Outdoor Track & Field Championships,2017-05-10,2.4,100,W
71,"Cox, Carmiesha",SR-4,Purdue,11.48,Big Ten Outdoor Championships,2017-05-12,1.9,100,W
77,"Bouyer, Kennadi",SR-4,Washington,11.49,2017 90th Clyde Littlefield Texas Relays,2017-03-29,2.7,100,W
77,"White, Danyel",FR-1,Texas A&M,11.49,38th Sun Angel Classic,2017-04-06,-0.4,100,W
77,"Birmmingham, Aaliyah",FR-1,Tulsa,11.49,Arkansas Twilight,2017-05-05,2.8,100,W
77,"Gaffney, Regyn",SO-2,Washington St.,11.49,Cougar Invitational,2017-04-29,3.8,100,W
81,"Jones, De'Shalyn",JR-3,Northwestern St.,11.50,Baylor Invitational,2017-04-08,1.4,100,W
81,"Davis , Courtne",SO-2,Long Beach St.,11.50,Beach Invitational,2017-04-14,3.4,100,W
81,"Clarke, Kayelle",JR-3,Kentucky,11.50,SEC Relays,2017-04-28,2.0,100,W
81,"Taylor, Alexys",FR-1,James Madison,11.50,William Walton Invitational,2017-04-15,3.8,100,W
81,"Njadoe, Wurrie",FR-1,Kansas State,11.50,Texas Invitational,2017-04-14,2.6,100,W
81,"Osuji, Stephanie",JR-3,Albany,11.50,2017 America East Outdoor Championships,2017-05-06,2.1,100,W
81,"Harris, Lakayla",SO-2,Nebraska,11.50,2017 Husker Spring Invitational,2017-04-08,0.1,100,W
81,"Williams, Tori",SR-4,Houston,11.50,Houston Alumni Invitational,2017-04-08,3.5,100,W
89,"Brown, Destinee",SR-4,USC,11.51,USC vs. UCLA,2017-04-29,3.0,100,W
89,"Stone, Katie",JR-3,Georgia,11.51,Gamecock Invitational,2017-04-15,1.7,100,W
89,"Lawrence, Tamdra",SO-2,Murray State,11.51,OVC Outdoor Track & Field Championship,2017-05-11,1.9,100,W
89,"Darius, Symone",FR-1,Alabama,11.51,Florida Relays,2017-03-30,0.8,100,W
89,"Collins, Angelica",JR-3,Clemson,11.51,LSU Alumni Gold,2017-04-22,1.2,100,W
94,"Martin, SheKara",SR-4,UCF,11.52,The American Outdoor Track & Field Championships,2017-05-12,1.9,100,W
94,"McClendon, Ebony",SO-2,Wisconsin,11.52,John McDonnell Invitational,2017-04-21,3.2,100,W
94,"Emeodi, Judy",SR-4,TCU,11.52,Big 12 Outdoor Track & Field Championships,2017-05-12,3.0,100,W
94,"McCorkle, Taylor",JR-3,Penn,11.52,Ivy League Outdoor Track & Field Championships,2017-05-06,2.5,100,W
94,"Smith, Sierra",FR-1,Houston,11.52,Houston Alumni Invitational,2017-04-08,3.5,100,W
94,"Van Buren, Amanda",FR-1,Oklahoma,11.52,Big 12 Outdoor Track & Field Championships,2017-05-12,3.0,100,W
94,"Girardeau, Darlene",SR-4,Appalachian State,11.52,Sun Belt Outdoor Track and Field Championships,2017-05-12,2.4,100,W
1,"Akinosun, Morolake",SR-4,Texas,10.97,LSU Alumni Gold,2016-04-23,3.5,100,W
2,"Cunliffe, Hannah",SO-2,Oregon,10.99,Mt. SAC Relays,2016-04-14,1.7,100,W
3,"Henderson, Ashley",SO-2,San Diego St.,11.01,Mountain West Championships,2016-05-11,4.0,100,W
4,"Carter , Destiny",JR-3,Kentucky,11.11,LSU Invitational,2016-04-30,3.8,100,W
5,"Gray, Kianna",FR-1,Kentucky,11.12,LSU Invitational,2016-04-30,3.8,100,W
6,"Sanders, Shayla",JR-3,Florida,11.13,Power Conference Cardinal & Gold,2016-03-25,1.2,100,W
6,"Johnson, Kortnei",FR-1,LSU,11.13,LSU Invitational,2016-04-30,3.8,100,W
8,"Oliver, Javianne",JR-3,Kentucky,11.16,LSU Invitational,2016-04-30,3.8,100,W
9,"Jefferson, Kyra",JR-3,Florida,11.17,UF Tom Jones Memorial,2016-04-22,0.2,100,W
9,"Brisco, Mikiah",SO-2,LSU,11.17,LSU Alumni Gold,2016-04-23,3.5,100,W
11,"Washington, Ariana",FR-1,Oregon,11.18,Pac-12 Outdoor Track & Field Championships,2016-05-14,1.4,100,W
11,"Davis-White, Kali",JR-3,Tennessee,11.18,LSU Alumni Gold,2016-04-23,3.5,100,W
13,"Stevens, Deajah",SO-2,Oregon,11.19,Pac-12 Outdoor Track & Field Championships,2016-05-14,1.3,100,W
14,"Todd, Jasmine",JR-3,Oregon,11.20,Mt. SAC Relays,2016-04-14,1.7,100,W
15,"Gaither, Tynia",SR-4,USC,11.21,UCLA vs. USC Dual Meet,2016-05-01,0.1,100,W
15,"Daniels, Teahna",FR-1,Texas,11.21,Power Conference Cardinal & Gold,2016-03-25,1.2,100,W
17,"Martin, Jada",JR-3,LSU,11.24,LSU Alumni Gold,2016-04-23,3.5,100,W
