,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
67,"Kee, Kendall",JR-3,South Carolina,10.39,SEC Championships,2015-05-14,2.3,100,M
67,"Washington, Marqueze",JR-3,Arkansas,10.39,John McDonnell Invitational,2015-04-10,1.8,100,M
72,"Whitelow, DeVantre",SR-4,Michigan State,10.41,GVSU Second to Last Chance,2015-05-08,1.9,100,M
72,"Love, Jared",SO-2,Stephen F. Austin,10.41,Southland Conference Championship,2015-05-08,1.4,100,M
72,"Johnson, Tyrell",FR-1,Arizona,10.41,Pac-12 Track & Field Championships,2015-05-15,0.6,100,M
72,"Eliphar, Alton",JR-3,FIU,10.41@,Conference USA Outdoor Track & Field Championships,2015-05-14,0.6,100,M
72,"Spooney, John",SR-4,Michigan,10.41,Virginia Challenge,2015-04-17,0.1,100,M
72,"Taylor, Nicholas",JR-3,Utah Valley,10.41@,2015 WAC Outdoor Track & Field Championships,2015-05-13,0.8,100,M
72,"Alhasan, Mohammad",SR-4,Arizona,10.41,Willie Williams Classic (College/Open),2015-03-20,0.4,100,M
72,"Sartor-Francis, Jordan",JR-3,Navy,10.41,Patriot League Outdoor Track & Field Championships,2015-05-01,0.6,100,M
80,"Maat, Molefi",FR-1,Illinois,10.42,Big Ten Outdoor Track & Field Championships,2015-05-15,2.2,100,M
80,"VanAssche, Jeremy",FR-1,Eastern Washington,10.42,OSU High Performance,2015-04-30,3.7,100,M
80,"Quarles, Frank",SO-2,N. Carolina A&T,10.42,MEAC Outdoor T&F Championships,2015-04-30,2.9,100,M
80,"Fair, Kareem",FR-1,Bethune-Cookman,10.42,MEAC Outdoor T&F Championships,2015-04-30,1.0,100,M
80,"Robinson, Dionte",FR-1,UTSA,10.42@,Conference USA Outdoor Track & Field Championships,2015-05-14,1.5,100,M
85,"Wesley, Bennie",FR-1,Oklahoma,10.43,Longhorn Invitational,2015-05-02,2.1,100,M
85,"James, Amir",FR-1,Northwestern St.,10.43,Southland Conference Championship,2015-05-08,1.4,100,M
87,"Bethel, Nigel",FR-1,Texas Tech,10.44@,Texas Tech Red Raider Open,2015-04-30,3.3,100,M
87,"Addison, Jonathan",JR-3,North Carolina St.,10.44,ACC Outdoor Track & Field Championships,2015-05-14,2.1,100,M
87,"Collins, Leshon",JR-3,Houston,10.44,The American Outdoor Track & Field Championships,2015-05-14,1.6,100,M
87,"Green, DeTorrian",SO-2,Alabama A&M,10.44,Alabama A&M Bulldog Preview Meet,2015-03-17,-0.8,100,M
91,"Schulz, Cody",SO-2,Texas State,10.45,Sun Belt Outdoor Track and Field Championships,2015-05-08,1.7,100,M
91,"House, James",FR-1,High Point,10.45,Big South Championships,2015-05-14,3.4,100,M
91,"Johnson, Derrick",JR-3,Southern Miss.,10.45,LSU Alumni Gold,2015-04-18,2.9,100,M
91,"Bozmans, Raymond",SO-2,TCU,10.45,Michael Johnson Classic,2015-04-18,0.2,100,M
95,"Evans, Ahmad",SR-4,SIU-Edwardsville,10.46,Ohio Valley Conference Championships,2015-05-15,1.0,100,M
95,"Caldwell, Chris",JR-3,Texas Tech,10.46@,Texas Tech Outdoor Open,2015-04-03,3.4,100,M
95,"Pinder, Tadashi",JR-3,Alabama,10.46,Crimson Tide Invitational,2015-03-27,1.5,100,M
95,"Brown, Devan",JR-3,Abilene Christian,10.46,Wes Kittley Invitational 2015,2015-04-11,4.0,100,M
99,"Harris, Kevin",FR-1,Baylor,10.47,Longhorn Invitational,2015-05-02,2.3,100,M
99,"Mercado, Bryan",SR-4,USC,10.47,Mt. SAC Relays,2015-04-16,2.1,100,M
1,"Bacon, Jaylen",SR-4,Arkansas State,9.99,Sun Belt Outdoor Track and Field Championships,2018-05-11,2.5,100,M
1,"Williams, Kendal",JR-3,Georgia,9.99,SEC Outdoor Track and Field Championships,2018-05-11,1.1,100,M
3,"Mitchell, Jaylan",SO-2,N. Carolina A&T,10.00,NCAT Aggie Invitational,2018-04-13,3.9,100,M
4,"Larkins, Micah",JR-3,Northwestern St.,10.02,Home Depot Clyde Littlefield Texas Relays,2018-03-28,3.6,100,M
5,"Ewers, Andre",JR-3,Florida State,10.04,Home Depot Clyde Littlefield Texas Relays,2018-03-28,3.6,100,M
6,"Gillespie, Cravon",JR-3,Oregon,10.05,2018 Pac-12 Track & Field Championships,2018-05-12,2.9,100,M
7,"Jefferson, Chris",JR-3,Sam Houston St.,10.08,Home Depot Clyde Littlefield Texas Relays,2018-03-28,3.6,100,M
8,"Oduduru, Divine",SO-2,Texas Tech,10.10,Michael Johnson Invitational,2018-04-21,1.4,100,M
8,"Chambers, Raheem",SO-2,Auburn,10.10,SEC Outdoor Track and Field Championships,2018-05-11,1.1,100,M
8,"Williams, Waseem",SO-2,Purdue,10.10,Big Ten Championships,2018-05-11,1.2,100,M
11,"Quinn, Devin",JR-3,Illinois,10.11,Illinois Twilight,2018-04-14,3.4,100,M
12,"Walter, Keitavious",JR-3,Alabama,10.12,UF Tom Jones Memorial,2018-04-13,0.9,100,M
12,"Cotton, Kenzo",SR-4,Arkansas,10.12,Arkansas Spring Invitational,2018-03-23,2.6,100,M
12,"Williams, Mustaqeem",JR-3,Tennessee,10.12,SEC Outdoor Track and Field Championships,2018-05-11,1.1,100,M
12,"James, Amir",SR-4,Northwestern St.,10.12,Home Depot Clyde Littlefield Texas Relays,2018-03-28,3.6,100,M
12,"Morris, Julius",SR-4,Western Kentucky,10.12,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,1.8,100,M
12,"Willis, Maxwell",SO-2,Baylor,10.12,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,1.3,100,M
18,"Burke, Mario",JR-3,Houston,10.13,The American Outdoor Track & Field Championships,2018-05-11,-0.2,100,M
18,"Lewis III, John",JR-3,Houston,10.13,2018 Prairie View A&M Relays,2018-03-24,3.5,100,M
20,"Reese, Riak",SR-4,Kent State,10.14,2018 Drake Relays presented by Hy-Vee,2018-04-25,2.6,100,M
20,"Greene, Cejhae",SR-4,Georgia,10.14,SEC Outdoor Track and Field Championships,2018-05-11,1.1,100,M
20,"Simpson, Damarcus",SR-4,Oregon,10.14,2018 Pac-12 Track & Field Championships,2018-05-12,2.9,100,M
23,"Kemp, Demek",JR-3,South Carolina St.,10.15,USC Open,2018-04-21,2.9,100,M
24,"Titi, Ncincilili",SR-4,South Carolina,10.16,USC Open,2018-04-21,2.9,100,M
24,"Clark, Ryan",JR-3,Florida,10.16,UF Tom Jones Memorial,2018-04-13,2.1,100,M
26,"Davis, Josh",JR-3,Alabama State,10.19,SWAC Outdoor Track and Field Championship,2018-05-04,1.5,100,M
26,"Sani-Brown, Hakim",FR-1,Florida,10.19,UF Tom Jones Memorial,2018-04-13,2.1,100,M
28,"Amoah, Joseph",SO-2,Coppin State,10.20,MEAC Outdoor Track & Field Championships,2018-05-03,1.1,100,M
28,"West, McKinely",JR-3,Southern Miss.,10.20,2018 Conference USA Outdoor Track & Field Championships,2018-05-10,0.1,100,M
28,"Tait, Emmanuel",SO-2,Samford,10.20,2018 South Alabama Invintational,2018-04-06,2.7,100,M
31,"Brock, TJ",SO-2,USC,10.21,2018 Pac-12 Track & Field Championships,2018-05-12,2.9,100,M
