,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
68,"Jeffries, Allison",SR-4,Boise State,4.06m,"13' 3.75""",Border Clash 2017,2017-04-28,PV,W
68,"Powers, Alison",SR-4,Nevada,4.06m,"13' 3.75""",Stanford Cardinal Classic,2017-04-21,PV,W
68,"Frey, Alesa",SO-2,Wichita State,4.06m,"13' 3.75""",2017 MVC Outdoor Track and Field Championships,2017-05-12,PV,W
68,"Hunt, Makiah",FR-1,South Dakota,4.06m,"13' 3.75""",The Summit League Outdoor Track & Field Championships,2017-05-11,PV,W
68,"Naatjes, Nicole",SR-4,BYU,4.06m,"13' 3.75""",38th Sun Angel Classic,2017-04-06,PV,W
68,"Foster, Kyley",SO-2,North Dakota,4.06m,"13' 3.75""",Pacific Beach Intercollegiate,2017-04-13,PV,W
75,"Ward, Chesney",FR-1,Duke,4.05m,"13' 3.5""",Beach Invitational,2017-04-14,PV,W
75,"Kallenberger, Nicole",FR-1,Ole Miss,4.05m,"13' 3.5""",Mt. SAC Relays,2017-04-13,PV,W
75,"Brown, Sandra",FR-1,Ole Miss,4.05m,"13' 3.5""",Ole Miss/ Joe Walker Invitational,2017-03-24,PV,W
75,"Smith, Gabby",SO-2,Colorado St.,4.05m,"13' 3.5""",Jack Christiansen Invitational,2017-04-22,PV,W
79,"Gilson, Cami",SR-4,Minnesota,4.04m,"13' 3""",Bear Cat Twilight,2017-05-03,PV,W
79,"Sergeant, Erica",JR-3,Kennesaw State,4.04m,"13' 3""",2017 Western Carolina Track and Field Invitational,2017-04-28,PV,W
79,"Markel, Rebekah",SO-2,Tulane,4.04m,"13' 3""",The American Outdoor Track & Field Championships,2017-05-12,PV,W
82,"Amato, Savanah",SO-2,Austin Peay,4.03m,"13' 2.5""",2017 WKU Hilltopper Relays,2017-04-07,PV,W
82,"Sheppard, Nati",SO-2,Duke,4.03m,"13' 2.5""",ACC Outdoor Track & Field Championships,2017-05-12,PV,W
