,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
73,"Edwards, Sarah",JR-3,Virginia Tech,10:24.47,Duke Invitational,2019-04-19,3000S,W
74,"Sapone, Lauren",JR-3,Dartmouth,10:24.84,North Florida Spring Break Invitational,2019-03-21,3000S,W
75,"Zachgo, Julia",FR-1,North Carolina St.,10:25.22,125th Penn Relays,2019-04-25,3000S,W
76,"Duca, Paige",JR-3,Boston College,10:25.34,Ocean State Invitational,2019-04-12,3000S,W
77,"Bart, Jonna",SO-2,South Dakota,10:25.63,Howard Wood Dakota Relays,2019-05-03,3000S,W
78,"Musselman, Sara",SO-2,BYU,10:25.73,Stanford Invitational,2019-03-29,3000S,W
79,"Bolliger, Alyssa",SR-4,Tulsa,10:25.84,The American Outdoor Track & Field Championships,2019-05-10,3000S,W
80,"French, Anna",JR-3,Montana State,10:25.96,Mt. SAC Relays,2019-04-18,3000S,W
81,"Viparina, Olivia",SR-4,James Madison,10:26.00,IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,3000S,W
82,"Oakes, Jordan",SO-2,Stanford,10:26.27,Big Meet,2019-04-06,3000S,W
83,"Fetherstonhaugh, Grace",FR-1,Oregon State,10:26.52,Mt. SAC Relays,2019-04-18,3000S,W
84,"Russell, Sylvia",SO-2,Miss State,10:26.67,SEC Outdoor Track & Field Championships,2019-05-09,3000S,W
85,"Mills, Eryn",SR-4,Richmond,10:26.72,2019 Colonial Relays,2019-04-04,3000S,W
86,"Caldwell, Abby",SR-4,Iowa State,10:26.76,Cardinal Classic,2019-04-19,3000S,W
87,"Reinhart, Michaela",SO-2,Duke,10:26.77,Raleigh Relays,2019-03-29,3000S,W
88,"Triskett, Allison",SR-4,Dayton,10:27.09,Atlantic 10 Outdoor Track & Field Championships,2019-05-04,3000S,W
89,"Hukka, Minttu",SR-4,Tennessee,10:27.20,Virginia Challenge,2019-04-19,3000S,W
90,"Wilker, Kelly",SO-2,Dayton,10:27.39,Atlantic 10 Outdoor Track & Field Championships,2019-05-04,3000S,W
91,"Meyberg, Lotte",JR-3,Georgia State,10:27.52,Sun Belt Outdoor Track and Field Championships,2019-05-10,3000S,W
92,"Schiera, Kayla",FR-1,Southern Illinois,10:27.54,MVC Championship,2019-05-10,3000S,W
93,"Hyde, Gracie",FR-1,Central Arkansas,10:27.55,Southland Conference Outdoor Track and Field Championship,2019-05-03,3000S,W
94,"Melius, Mckenzie",SR-4,Tulane,10:27.88,The American Outdoor Track & Field Championships,2019-05-10,3000S,W
95,"Worrel, Megan",FR-1,Michigan,10:27.90,Big Ten Championships,2019-05-10,3000S,W
96,"Weiler, Mackenzie",JR-3,Michigan State,10:28.14,Big Ten Championships,2019-05-10,3000S,W
97,"Nichwitz, Rachel",JR-3,Arkansas,10:28.26,Stanford Invitational,2019-03-29,3000S,W
98,"Innis, Brittany",SR-4,Stephen F. Austin,10:28.28,Mt. SAC Relays,2019-04-18,3000S,W
99,"Breiten, Grace",JR-3,Missouri State,10:28.67,Drake Relays presented by Hy-Vee,2019-04-24,3000S,W
100,"Sandwell, Paige",SO-2,Memphis,10:28.77,The American Outdoor Track & Field Championships,2019-05-10,3000S,W
1,"Frerichs, Courtney",SR-4,New Mexico,9:29.31,Payton Jordan Invitational,2016-05-01,3000S,W
2,"Purrier, Elinor",SO-2,New Hampshire,9:47.17,Ocean State Invitational,2016-04-15,3000S,W
3,"Kamilos, Jessica",SR-4,Arkansas,9:48.16,SEC Championships,2016-05-12,3000S,W
4,"Clark, Erin",SO-2,Colorado,9:48.72,Pac-12 Outdoor Track & Field Championships,2016-05-14,3000S,W
5,"Winslow, Danielle",SR-4,Boston College,9:48.81,Ocean State Invitational,2016-04-15,3000S,W
