,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
95,"Willard, Katie",SR-4,Texas A&M,2:07.70,SEC Outdoor Track & Field Championships,2017-05-11,800,W
95,"Crank, Gabby",SO-2,Texas,2:07.70,Stanford Cardinal Classic,2017-04-21,800,W
97,"Dodge, Blake",JR-3,North Carolina,2:07.73,Virginia Challenge,2017-04-21,800,W
98,"Hinkle, Jenna",JR-3,UC Santa Barbara,2:07.76,Cal Poly-UCSB Dual Meet,2017-04-29,800,W
98,"Kocjancic, Julie",SR-4,Penn State,2:07.76,Virginia Challenge,2017-04-21,800,W
100,"Scott, Nichelle",JR-3,VCU,2:07.78,Atlantic 10 Outdoor Track & Field Championships,2017-05-06,800,W
1,"Baker, Olivia",SO-2,Stanford,2:01.02,Payton Jordan Invitational,2016-05-01,800,W
2,"Edwards, Kaela",SO-2,Oklahoma State,2:01.97,Mt. SAC Relays,2016-04-14,800,W
3,"Schuetz, Morgan",JR-3,LSU,2:02.29,LSU Alumni Gold,2016-04-23,800,W
4,"Rogers, Raevyn",SO-2,Oregon,2:02.41,Pac-12 Outdoor Track & Field Championships,2016-05-14,800,W
5,"Green, Hanna",JR-3,Virginia Tech,2:02.45,ACC Championships,2016-05-13,800,W
6,"Banks, Anima",SR-4,Duke,2:02.50,ACC Championships,2016-05-13,800,W
7,"Barowski, Cecilia",SR-4,Princeton,2:02.62,Stanford Invitational,2016-04-01,800,W
8,"Brown, Ce'aira",SR-4,Hampton,2:02.82,Florida Relays,2016-03-31,800,W
9,"Collinsworth, Shea",JR-3,BYU,2:03.21,37th Annual Sun Angel Classic,2016-04-08,800,W
10,"Graham, Ariah",JR-3,Kentucky,2:03.24,Florida Relays,2016-03-31,800,W
11,"Fray, Jazmine",FR-1,Texas A&M,2:03.25,Michael Johnson Classic,2016-04-23,800,W
12,"Cleirigh Buttner, Siofra",SO-2,Villanova,2:03.52,Larry Ellis Invite,2016-04-22,800,W
13,"Leblanc, Annie",SR-4,Oregon,2:03.62,Pac-12 Outdoor Track & Field Championships,2016-05-14,800,W
14,"Saunders, Claudia",SR-4,Stanford,2:03.73,The Big Meet -Cal vs. Stanford,2016-04-09,800,W
15,"Southerland, Sabrina",JR-3,Georgetown,2:03.81,Stanford Twilight,2016-04-22,800,W
16,"Mires, Baylee",SR-4,Washington,2:03.91,Pac-12 Outdoor Track & Field Championships,2016-05-14,800,W
17,"Freitas, Marta",SR-4,Miss State,2:03.92,SEC Championships,2016-05-12,800,W
18,"Schmidt, Sarah",FR-1,Georgetown,2:04.02,Stanford Twilight,2016-04-22,800,W
19,"Williams, Olicia",SR-4,Baylor,2:04.12,Big 12 Outdoor Track & Field Championships,2016-05-13,800,W
20,"Farrow, Ersula",FR-1,Clemson,2:04.13,ACC Championships,2016-05-13,800,W
21,"Harris, Jessica",FR-1,Notre Dame,2:04.24,ACC Championships,2016-05-13,800,W
22,"Nichols, Clara",JR-3,Oklahoma State,2:04.45,Mt. SAC Relays,2016-04-14,800,W
23,"Chamberlain, Rosie",SO-2,UCF,2:04.54,UCF Black and Gold Challenge,2016-03-18,800,W
24,"McNamara, Molly",SR-4,Stanford,2:04.61,Payton Jordan Invitational,2016-05-01,800,W
25,"Moye, Megan",JR-3,North Carolina St.,2:04.93,Wolfpack Last Chance,2016-05-06,800,W
26,"Martin, Heather",SR-4,Georgetown,2:04.98,Stanford Twilight,2016-04-22,800,W
27,"Gaskin, Sonia",SR-4,Kansas State,2:05.05,LSU Battle on the Bayou,2016-04-09,800,W
28,"Weber, Rachel",JR-3,Ohio State,2:05.12,Jesse Owens Track & Field Classic - Ohio State University,2016-04-22,800,W
29,"Keenan, Emma",SO-2,Georgetown,2:05.19,Stanford Twilight,2016-04-22,800,W
30,"Whelan, Elizabeth",SR-4,North Carolina,2:05.23,ACC Championships,2016-05-13,800,W
31,"Abu, Agnes",JR-3,Mid. Tenn. State,2:05.26,Payton Jordan Invitational,2016-05-01,800,W
32,"Jones, Dani",FR-1,Colorado,2:05.27,Payton Jordan Invitational,2016-05-01,800,W
33,"Mann, Elissa",FR-1,Colorado,2:05.28,Pac-12 Outdoor Track & Field Championships,2016-05-14,800,W
34,"Pocratsky, Rachel",FR-1,Virginia Tech,2:05.30,Payton Jordan Invitational,2016-05-01,800,W
35,"Smith, Mikaela",FR-1,USC,2:05.33,Pac-12 Outdoor Track & Field Championships,2016-05-14,800,W
36,"Adams, Whitney",JR-3,Kansas,2:05.43,37th Annual Sun Angel Classic,2016-04-08,800,W
37,"Camacho, Savannah",JR-3,Oklahoma State,2:05.73,Arkansas Twilight,2016-05-06,800,W
38,"Ficenec, Kimberley",SR-4,Alabama,2:05.74,SEC Championships,2016-05-12,800,W
39,"Pfeifer, Danielle",SR-4,Michigan,2:05.75,Payton Jordan Invitational,2016-05-01,800,W
40,"Dodd, Kaylee",SO-2,Oklahoma State,2:05.87,Big 12 Outdoor Track & Field Championships,2016-05-13,800,W
