,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
77,"Cuckler, Chanda",JR-3,Ohio U.,5038,Mid-American Outdoor Track & Field Championships,2014-05-15,Hep,M
78,"Jancewicz, Noel",FR-1,Penn,5035,Penn Relays (Combined Events),2014-04-22,Hep,M
79,"Prevoteau, Louise",JR-3,Duquesne,5034,Atlantic 10 Championships,2014-05-03,Hep,M
80,"Thompson, Natalie",SO-2,Texas Tech,5032,Big 12 Outdoor Track and Field Championships,2014-05-16,Hep,M
81,"Klinger, Rachel",JR-3,South Florida,5027,2014 Clyde Littlefield Texas Relays,2014-03-26,Hep,M
82,"Brandon, Riley",JR-3,Liberty,5018,2014 ECAC-IC4A Outdoor Championships,2014-05-16,Hep,M
83,"Pinkston, Jenny",FR-1,Wichita State,5012,2014 MVC Outdoor Track & Field Championships,2014-05-16,Hep,M
84,"Roderick, Sara",JR-3,Vermont,5005,2014 ECAC-IC4A Outdoor Championships,2014-05-16,Hep,M
85,"McSwain, Akira",SR-4,UAB,4988,Conference USA Outdoor Track & Field Championships,2014-05-15,Hep,M
85,"Bowe, Samantha",JR-3,New Mexico,4988,Mountain West Outdoor Track & Field Championships,2014-05-14,Hep,M
87,"Abrahamian, Jaclyn",JR-3,Wichita State,4981,Oregon Relays,2014-04-17,Hep,M
88,"Derricott, Elaine",SR-4,Marshall,4977,Conference USA Outdoor Track & Field Championships,2014-05-15,Hep,M
89,"Wilson, Elizabeth",SR-4,BYU,4976,2014 BYU Robison Invitational,2014-04-23,Hep,M
90,"Childs, Jade",SO-2,Northern Arizona,4974,Big Sky Conference Outdoor Track & Field Championships,2014-05-14,Hep,M
91,"Martin, Erika",SR-4,Wake Forest,4973,ACC Outdoor Track & Field Championships,2014-04-17,Hep,M
