,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
22,"Jupiter, Ka'Lynn",JR-3,LSU,57.48,SEC Championships,2016-05-12,400H,W
22,"Hawn, Kiana",SO-2,Baylor,57.48,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,400H,W
24,"Detra, Brenna",JR-3,Wisconsin,57.56,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,400H,W
25,"Siefring, Jaclyn",SO-2,Akron,57.61,Akron NE Ohio Quad,2016-04-15,400H,W
26,"Hrusoci, Alena",SO-2,UL-Lafayette,57.74,Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,400H,W
27,"Brown, Sashel",JR-3,Auburn,57.76,War Eagle Invitational,2016-04-22,400H,W
28,"Levy, Toria",JR-3,Boston U.,57.77,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,400H,W
29,"Naibe-Wey, Aisha",SR-4,Virginia,57.84,ACC Championships,2016-05-13,400H,W
30,"Richardson, Bryiana",JR-3,LSU,57.85,SEC Championships,2016-05-12,400H,W
30,"Pugh, Daje",JR-3,Kentucky,57.85,SEC Championships,2016-05-12,400H,W
32,"Meneau, Lisa",JR-3,Maryland,57.9,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,400H,W
33,"Barge, Jasmine",FR-1,Nebraska,57.94,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,400H,W
34,"Gonzalez, Melissa",SR-4,Texas,57.95,LSU Alumni Gold,2016-04-23,400H,W
34,"Pahlitzsch, Karolina",SO-2,Nebraska,57.95,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,400H,W
36,"Gordon, Daeshon",SO-2,LSU,57.99,LSU Alumni Gold,2016-04-23,400H,W
37,"Esposito, Jennifer",JR-3,Elon,58.01,Raleigh Relays,2016-03-25,400H,W
38,"Gipson, Madison",JR-3,San Diego St.,58.02,Mountain West Championships,2016-05-11,400H,W
39,"Johnson, Kyra",SR-4,Fresno State,58.03,Mountain West Championships,2016-05-11,400H,W
40,"Gelibert , Jessica",SR-4,Western Kentucky,58.12,Mt. SAC Relays,2016-04-14,400H,W
41,"STEWART, Chastity",SR-4,North Texas,58.13,Conference USA Championship,2016-05-12,400H,W
42,"Smith, Heather",JR-3,Virginia,58.17,ACC Championships,2016-05-13,400H,W
43,"Harper, Liz",JR-3,Washington St.,58.2,Pac-12 Outdoor Track & Field Championships,2016-05-14,400H,W
43,"Duckett, Jessica",FR-1,Tulane,58.2,The American Outdoor Track & Field Championships,2016-05-12,400H,W
45,"Knodle , Paige",SR-4,Northern Iowa,58.24,2016 MVC Outdoor Track and Field Championships,2016-05-13,400H,W
