,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
49,"Ferretti, Gian",JR-3,Minnesota,63.96m,"209' 10""",Baldy Castillo Invitational,2016-03-18,HT,M
50,"Davis, Josh",SO-2,North Carolina St.,63.69m,"208' 11""",Wolfpack Last Chance,2016-05-06,HT,M
51,"Gjokaj, Vinny",JR-3,Michigan State,63.44m,"208' 2""",Florida Relays,2016-03-31,HT,M
52,"Miller, Andrew",SO-2,Indiana,63.35m,"207' 10""",2016 Indiana - Purdue Duals,2016-04-23,HT,M
53,"Hubbard, James",JR-3,Long Beach St.,63.27m,"207' 7""",Steve Scott Invitational,2016-04-29,HT,M
53,"Jagers, Reginald",JR-3,Kent State,63.27m,"207' 7""",Jesse Owens Track & Field Classic - Ohio State University,2016-04-22,HT,M
55,"Ravar Ladislau, Cristian",SO-2,Arkansas State,63.26m,"207' 6""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,HT,M
56,"Blahnik, Zach",JR-3,South Alabama,63.18m,"207' 3""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,HT,M
57,"Singletary, Kalvin",JR-3,Sam Houston St.,63.16m,"207' 3""",SHSU Last Chance,2016-05-14,HT,M
58,"Pocesta, Blerim",SR-4,Manhattan,63.09m,"207' 0""",Baldy Castillo Invitational,2016-03-18,HT,M
59,"Zedella, Aaron",JR-3,Ohio State,63.05m,"206' 10""",Jesse Owens Track & Field Classic - Ohio State University,2016-04-22,HT,M
60,"Cline, David",SO-2,Kentucky,62.80m,"206' 0""",LSU Invitational,2016-04-30,HT,M
60,"Shigo, Morgan",FR-1,Penn State,62.80m,"206' 0""",Penn Relays,2016-04-28,HT,M
62,"Banagis, Dylan",JR-3,Central Michigan,62.74m,"205' 10""",Illini Open,2016-05-04,HT,M
63,"Arneson, Skylar",SR-4,Wichita State,62.68m,"205' 8""",Wichita State KT Woodman Classic,2016-04-13,HT,M
63,"Huckaby, Jordan",SR-4,Texas State,62.68m,"205' 8""",Texas State Bobcat Classic,2016-04-29,HT,M
65,"Minor, Colin",SO-2,Dartmouth,62.66m,"205' 7""",Larry Ellis Invite,2016-04-22,HT,M
66,"Riddle, Austin",SO-2,Rice,62.64m,"205' 6""",65th Annual TSU Relays University/College Division,2016-03-18,HT,M
67,"Conway, Kevin",JR-3,Mississippi,62.63m,"205' 6""",SEC Championships,2016-05-12,HT,M
68,"Jones, Anthony",JR-3,Eastern Michigan,62.56m,"205' 3""",Beach Pacific Coast,2016-04-14,HT,M
69,"Hauser, Nick",SR-4,Notre Dame,62.55m,"205' 2""",ACC Championships,2016-05-13,HT,M
70,"Smutz, Jacob",SR-4,Valparaiso,62.45m,"204' 11""",DePaul Invitational,2016-04-16,HT,M
