,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
18,"Wamer, Michael",JR-3,South Carolina,16.00m,"52' 6""",Spec Towns Invitational 2016,2016-04-08,0.5,TJ,M
19,"Plummer, Bobby",JR-3,Cornell,15.99m,"52' 5.5""",Ivy League Outdoor Track & Field Championships,2016-05-07,2.5,TJ,M
20,"Warren, John",SO-2,Missouri,15.98m,"52' 5.25""",SEC Championships,2016-05-12,2.2,TJ,M
20,"Uwaifo, Efe",JR-3,Harvard,15.98m,"52' 5.25""",Virginia Challenge,2016-04-22,1.6,TJ,M
22,"Tiller, Michael",JR-3,Bethune-Cookman,15.97m,"52' 4.75""",Miami Hurricane Twilight Invitational,2016-03-25,1.6,TJ,M
23,"McRae, Trey",SR-4,Charlotte,15.95m,"52' 4""",Conference USA Championship,2016-05-12,1.9,TJ,M
24,"Campbell, Anthony",SR-4,Charlotte,15.94m,"52' 3.75""",Conference USA Championship,2016-05-12,1.2,TJ,M
25,"Collie, Lathone",SR-4,Texas A&M,15.91m,"52' 2.5""",LSU Invitational,2016-04-30,1.8,TJ,M
26,"Pienaar, Roelf",JR-3,Arkansas State,15.88m,"52' 1.25""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,1.3,TJ,M
27,"Carodine, Tony",SR-4,Missouri,15.86m,"52' 0.5""",SEC Championships,2016-05-12,2.3,TJ,M
27,"Robinson, Damar",JR-3,Louisville,15.86m,"52' 0.5""",ACC Championships,2016-05-13,1.6,TJ,M
29,"Newton, Scotty",SO-2,TCU,15.85m,"52' 0""",Jim Click Shootout,2016-04-09,2.3,TJ,M
30,"Brooks, Darian",SR-4,Stanford,15.84m,"51' 11.75""",Pac-12 Outdoor Track & Field Championships,2016-05-14,0.6,TJ,M
31,"Dixon, Josh",SR-4,Arizona State,15.83m,"51' 11.25""",Mt. SAC Relays,2016-04-14,2.9,TJ,M
32,"White, Tim",JR-3,Arizona State,15.81m,"51' 10.5""",2016 Duel in the Desert,2016-04-30,-1.2,TJ,M
33,"Worrell, Aaron",SO-2,Virginia,15.80m,"51' 10""",ACC Championships,2016-05-13,3.9,TJ,M
33,"Chikaeze, Alvin",SO-2,Texas State,15.80m,"51' 10""",Texas State Bobcat Classic,2016-04-29,0.6,TJ,M
33,"Friday, John-Patrick",SR-4,Miami,15.80m,"51' 10""",UF Tom Jones Memorial,2016-04-22,0.6,TJ,M
33,"Green, Shane",SR-4,Coppin State,15.80m,"51' 10""",Penn Relays,2016-04-28,-0.1,TJ,M
37,"Brown, Charles",FR-1,Texas Tech,15.79m,"51' 9.75""",Big 12 Outdoor Track & Field Championships,2016-05-13,1.1,TJ,M
37,"Tolbert, Donovan",SR-4,Kent State,15.79m,"51' 9.75""",Mid-American Conference Championship,2016-05-12,0.3,TJ,M
39,"Williams, Emmanuel",SR-4,Northwestern St.,15.77m,"51' 9""",Jim Mize Invitational,2016-03-18,1.2,TJ,M
39,"Trigg, Samuel",JR-3,New Mexico,15.77m,"51' 9""",Mountain West Championships,2016-05-11,3.4,TJ,M
41,"Martin, Chris",JR-3,SE Missouri,15.74m,"51' 7.75""",Ohio Valley Conference Championship,2016-05-13,3.2,TJ,M
42,"Ziegler, Manuel",SR-4,Virginia Tech,15.72m,"51' 7""",ACC Championships,2016-05-13,2.6,TJ,M
43,"Prothro, Jeffrey",JR-3,Texas A&M,15.70m,"51' 6.25""",LSU Invitational,2016-04-30,1.4,TJ,M
43,"Wesley, Corey",SR-4,UL-Monroe,15.70m,"51' 6.25""",Jim Mize Invitational,2016-03-18,1.9,TJ,M
45,"Nicholas, Kareem",SR-4,Tennessee St.,15.69m,"51' 5.75""",2016 Govs Invitational,2016-04-15,0.0,TJ,M
45,"Harvey, Julian",JR-3,SIU-Edwardsville,15.69m,"51' 5.75""",Ohio Valley Conference Championship,2016-05-13,0.7,TJ,M
