,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
31,"Riley, Adrian",JR-3,UTSA,7398,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,Dec,W
32,"Oliver, Isaiah",SO-2,Colorado,7394,2017 Pac-12 Combined Events Championships,2017-05-06,Dec,W
33,"Mechler, Nathaniel",FR-1,Houston,7374,The American Outdoor Track & Field Championships,2017-05-12,Dec,W
34,"Robinson, Nico",SR-4,Dartmouth,7338,Ivy League Outdoor Track & Field Championships,2017-05-06,Dec,W
35,"Mulder, Joshua",SR-4,Kennesaw State,7320,Virginia Challenge,2017-04-21,Dec,W
36,"Stone, Chris",FR-1,Auburn,7300,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Dec,W
37,"Sullivan, Chris",SR-4,FIU,7288,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,Dec,W
38,"Culp, Brad",SR-4,Arkansas,7279,SEC Outdoor Track & Field Championships,2017-05-11,Dec,W
39,"Lam, Daniel",JR-3,New Mexico,7277,Mountain West Outdoor Track & Field Championships,2017-05-10,Dec,W
40,"Fox, Eric",JR-3,Louisville,7233,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Dec,W
41,"Knowles, Trevor",JR-3,Lehigh,7197,Patriot League Outdoor Track & Field Championships,2017-05-05,Dec,W
42,"Ose, Benjamin",SO-2,Dartmouth,7192,Ivy League Outdoor Track & Field Championships,2017-05-06,Dec,W
43,"Austell, Lane",SR-4,Arkansas,7179,SEC Outdoor Track & Field Championships,2017-05-11,Dec,W
44,"Wilson, JaQuarius",SR-4,Miss State,7177,SEC Outdoor Track & Field Championships,2017-05-11,Dec,W
45,"Jensen, Cole",JR-3,Washington,7166,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Dec,W
45,"Morgan, Mike",SR-4,Buffalo,7166,Mid-American Outdoor Track & Field Championships,2017-05-11,Dec,W
47,"Scranton, Teddy",SR-4,Cal Poly,7143,2017 Big West Multi Championships,2017-05-05,Dec,W
48,"Meyer, Patrick",SR-4,Connecticut,7137,Miami Hurricane Alumni Invitational,2017-04-07,Dec,W
49,"Newberg, Dante",SO-2,Florida State,7113,ACC Outdoor Track & Field Championships,2017-05-12,Dec,W
50,"Miceli, Joe",SR-4,Binghamton,7096,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Dec,W
51,"Nytes, Trent",SO-2,Wisconsin,7086,Big Ten Outdoor Championships,2017-05-12,Dec,W
52,"Stoudt, Angus",SR-4,North Dakota State,7085,The Summit League Outdoor Track & Field Championships,2017-05-11,Dec,W
53,"Hood, Chase",SR-4,Baylor,7083,Big 12 Outdoor Track & Field Championships,2017-05-12,Dec,W
