,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
75,"Schreiber, Scott",FR-1,Indiana State,7.43m,"24' 4.5""",EIU Twilight 2015,2015-05-08,1.7,LJ,M
75,"Akinlawon, Tumi",SR-4,Princeton,7.43m,"24' 4.5""",Ivy League Outdoor Track & Field Championships,2015-05-09,0.5,LJ,M
78,"Wells, Jonathan",FR-1,Illinois,7.42m,"24' 4.25""",Big Blue Classic 2015,2015-04-02,1.6,LJ,M
78,"Harrison, Devin",SR-4,Fresno State,7.42m,"24' 4.25""",Sacramento State Mondo Mid Major Challenge,2015-04-04,1.7,LJ,M
80,"Butler, Quentin",SR-4,Texas-Arlington,7.41m,"24' 3.75""",Sun Belt Outdoor Track and Field Championships,2015-05-08,2.9,LJ,M
80,"Annis, Tate",FR-1,Wichita State,7.41m,"24' 3.75""",Wichita State Shocker Open,2015-05-08,2.8,LJ,M
80,"McCullan, Josh",JR-3,Alabama,7.41m,"24' 3.75""",Alabama Relays,2015-03-19,0.0,LJ,M
80,"Keys, Dakotah",SR-4,Oregon,7.41m,"24' 3.75""",Oregon Relays,2015-04-16,3.5,LJ,M
80,"Hynes, Ryan",JR-3,Cornell,7.41m,"24' 3.75""",Cornell Outdoor Invitational 2015,2015-05-02,1.1,LJ,M
85,"Cowling, Caleb",SO-2,Nebraska,7.40m,"24' 3.5""",Musco Invitational,2015-05-02,1.8,LJ,M
85,"Koch, Shawn",SO-2,Northern Iowa,7.40m,"24' 3.5""",2015 MVC Outdoor Track and Field Championships,2015-05-15,1.5,LJ,M
85,"Hines, Romero",FR-1,Norfolk State,7.40m,"24' 3.5""",2015 Hampton University Relays,2015-04-10,-0.6,LJ,M
85,"Wiley, Jonah",FR-1,Arkansas State,7.40m,"24' 3.5""",ASU Red Wolf Open,2015-04-24,3.2,LJ,M
85,"Grant, Keniel",FR-1,Texas Tech,7.40m,"24' 3.5""",Wes Kittley Invitational 2015,2015-04-11,2.3,LJ,M
85,"Barnes, Marquis",FR-1,Samford,7.40m,"24' 3.5""",Southern Conference Outdoor Championship 2015,2015-04-25,-1.1,LJ,M
